


















Evaluating........................................................................................................................epoch:  77, time: 0.0h 2.0min 46.36869502067566sec, valid (NDCG@10: 0.5680, HR@10: 0.8086), test (NDCG@10: 0.5398, HR@10: 0.7846)



















Evaluating........................................................................................................................epoch:  78, time: 0.0h 2.0min 48.42270231246948sec, valid (NDCG@10: 0.5621, HR@10: 0.8060), test (NDCG@10: 0.5393, HR@10: 0.7838)



















Evaluating........................................................................................................................epoch:  79, time: 0.0h 2.0min 50.48542070388794sec, valid (NDCG@10: 0.5606, HR@10: 0.8036), test (NDCG@10: 0.5421, HR@10: 0.7859)



















Evaluating........................................................................................................................epoch:  80, time: 0.0h 2.0min 52.36497926712036sec, valid (NDCG@10: 0.5653, HR@10: 0.8096), test (NDCG@10: 0.5378, HR@10: 0.7849)



















Evaluating........................................................................................................................epoch:  81, time: 0.0h 2.0min 54.316837310791016sec, valid (NDCG@10: 0.5663, HR@10: 0.8106), test (NDCG@10: 0.5383, HR@10: 0.7859)




















Evaluating........................................................................................................................epoch:  82, time: 0.0h 2.0min 56.26196765899658sec, valid (NDCG@10: 0.5621, HR@10: 0.8073), test (NDCG@10: 0.5383, HR@10: 0.7839)


















Evaluating........................................................................................................................epoch:  83, time: 0.0h 2.0min 58.24222922325134sec, valid (NDCG@10: 0.5625, HR@10: 0.8065), test (NDCG@10: 0.5391, HR@10: 0.7907)




















Evaluating........................................................................................................................epoch:  84, time: 0.0h 3.0min 0.16745829582214355sec, valid (NDCG@10: 0.5678, HR@10: 0.8136), test (NDCG@10: 0.5362, HR@10: 0.7851)



















Evaluating........................................................................................................................epoch:  85, time: 0.0h 3.0min 2.158123731613159sec, valid (NDCG@10: 0.5648, HR@10: 0.8098), test (NDCG@10: 0.5408, HR@10: 0.7843)



















Evaluating........................................................................................................................epoch:  86, time: 0.0h 3.0min 4.050022840499878sec, valid (NDCG@10: 0.5703, HR@10: 0.8083), test (NDCG@10: 0.5453, HR@10: 0.7891)



















Evaluating........................................................................................................................epoch:  87, time: 0.0h 3.0min 6.005754709243774sec, valid (NDCG@10: 0.5662, HR@10: 0.8103), test (NDCG@10: 0.5386, HR@10: 0.7831)



















Evaluating........................................................................................................................epoch:  88, time: 0.0h 3.0min 7.908405303955078sec, valid (NDCG@10: 0.5687, HR@10: 0.8119), test (NDCG@10: 0.5403, HR@10: 0.7844)



















Evaluating........................................................................................................................epoch:  89, time: 0.0h 3.0min 9.810863256454468sec, valid (NDCG@10: 0.5637, HR@10: 0.8084), test (NDCG@10: 0.5379, HR@10: 0.7853)



















Evaluating........................................................................................................................epoch:  90, time: 0.0h 3.0min 11.703129053115845sec, valid (NDCG@10: 0.5675, HR@10: 0.8124), test (NDCG@10: 0.5430, HR@10: 0.7826)

















Evaluating........................................................................................................................epoch:  91, time: 0.0h 3.0min 13.655075073242188sec, valid (NDCG@10: 0.5666, HR@10: 0.8119), test (NDCG@10: 0.5375, HR@10: 0.7874)



















Evaluating........................................................................................................................epoch:  92, time: 0.0h 3.0min 15.592048645019531sec, valid (NDCG@10: 0.5654, HR@10: 0.8099), test (NDCG@10: 0.5429, HR@10: 0.7838)



















Evaluating........................................................................................................................epoch:  93, time: 0.0h 3.0min 17.503132820129395sec, valid (NDCG@10: 0.5636, HR@10: 0.8038), test (NDCG@10: 0.5431, HR@10: 0.7818)



















Evaluating........................................................................................................................epoch:  94, time: 0.0h 3.0min 19.432162761688232sec, valid (NDCG@10: 0.5696, HR@10: 0.8104), test (NDCG@10: 0.5372, HR@10: 0.7820)



















Evaluating........................................................................................................................epoch:  95, time: 0.0h 3.0min 21.281400680541992sec, valid (NDCG@10: 0.5695, HR@10: 0.8147), test (NDCG@10: 0.5435, HR@10: 0.7846)



















Evaluating........................................................................................................................epoch:  96, time: 0.0h 3.0min 23.27582883834839sec, valid (NDCG@10: 0.5667, HR@10: 0.8106), test (NDCG@10: 0.5448, HR@10: 0.7866)



















Evaluating........................................................................................................................epoch:  97, time: 0.0h 3.0min 25.26375126838684sec, valid (NDCG@10: 0.5675, HR@10: 0.8121), test (NDCG@10: 0.5430, HR@10: 0.7864)



















Evaluating........................................................................................................................epoch:  98, time: 0.0h 3.0min 27.221187829971313sec, valid (NDCG@10: 0.5657, HR@10: 0.8073), test (NDCG@10: 0.5414, HR@10: 0.7846)



















Evaluating........................................................................................................................epoch:  99, time: 0.0h 3.0min 29.13244080543518sec, valid (NDCG@10: 0.5675, HR@10: 0.8081), test (NDCG@10: 0.5397, HR@10: 0.7866)



















Evaluating........................................................................................................................epoch: 100, time: 0.0h 3.0min 31.13439178466797sec, valid (NDCG@10: 0.5690, HR@10: 0.8106), test (NDCG@10: 0.5423, HR@10: 0.7909)
Evaluating........
Evaluating...............
Evaluating.....................
Evaluating............................
Evaluating..................................
Evaluating........................................
Evaluating..............................................
Evaluating.....................................................
Evaluating............................................................
Evaluating.................................................................
Evaluating.......................................................................
Evaluating..............................................................................
Evaluating....................................................................................
Evaluating...........................................................................................
Evaluating.................................................................................................
Evaluating........................................................................................................
Evaluating...............................................................................................................
Evaluating.....................................................................................................................
